# columns 
# CaloToolMPEtaBin PtMin PtMax avgPt IEtaBin_forLUT_col1 PtBin_forLUT SF
0 0 0 0 0 0 1.000000   # ieta [1, 2, 3, 4, 5], pt 0
10 156 254 205 10 14 1.245316
10 255 255 255 10 15 1.214104
11 0 0 0 11 0 1.000000   # ieta [26], pt 0
11 1 19 10 11 1 2.083117
11 20 20 20 11 2 1.979931
11 21 21 21 11 3 1.978444
11 22 25 24 11 4 1.914485
11 26 29 28 11 5 1.832568
11 30 34 32 11 6 1.763508
11 35 40 38 11 7 1.699750
11 41 48 45 11 8 1.628315
11 49 58 54 11 9 1.557683
11 59 71 65 11 10 1.487879
11 72 88 80 11 11 1.429878
11 89 113 101 11 12 1.358883
11 114 155 135 11 13 1.290152
11 156 254 205 11 14 1.223901
11 255 255 255 11 15 1.194533
12 0 0 0 12 0 1.000000   # ieta [27, 28], pt 0
12 1 19 10 12 1 2.337167
12 20 20 20 12 2 2.162313
12 21 21 21 12 3 2.149932
12 22 25 24 12 4 2.053238
12 26 29 28 12 5 1.940594
12 30 34 32 12 6 1.841931
12 35 40 38 12 7 1.748967
12 41 48 45 12 8 1.667236
12 49 58 54 12 9 1.588995
12 59 71 65 12 10 1.512020
12 72 88 80 12 11 1.450582
12 89 113 101 12 12 1.377244
12 114 155 135 12 13 1.306665
12 156 254 205 12 14 1.237766
12 255 255 255 12 15 1.208237
13 0 0 0 13 0 1.000000   # ieta [29, 30, 31], pt 0
13 1 19 10 13 1 1.367585
13 20 20 20 13 2 1.239522
13 21 21 21 13 3 1.239522
13 22 25 24 13 4 1.196607
13 26 29 28 13 5 1.163474
13 30 34 32 13 6 1.155097
13 35 40 38 13 7 1.115736
13 41 48 45 13 8 1.108357
13 49 58 54 13 9 1.103225
13 59 71 65 13 10 1.099061
13 72 88 80 13 11 1.086339
13 89 113 101 13 12 1.070142
13 114 155 135 13 13 1.043045
13 156 254 205 13 14 1.034694
13 255 255 255 13 15 1.029087
14 0 0 0 14 0 1.000000   # ieta [32, 33, 34, 35], pt 0
14 1 19 10 14 1 1.147711
14 20 20 20 14 2 1.021841
14 21 21 21 14 3 1.017397
14 22 25 24 14 4 0.953390
14 26 29 28 14 5 0.923811
14 30 34 32 14 6 0.901400
14 35 40 38 14 7 0.878843
14 41 48 45 14 8 0.876835
14 49 58 54 14 9 0.880884
14 59 71 65 14 10 0.889380
14 72 88 80 14 11 0.889714
14 89 113 101 14 12 0.888676
14 114 155 135 14 13 0.879531
14 156 254 205 14 14 0.874654
14 255 255 255 14 15 0.870650
15 0 0 0 15 0 1.000000   # ieta [36, 37, 38, 39, 40], pt 0
15 1 19 10 15 1 1.365925
15 20 20 20 15 2 1.183912
15 21 21 21 15 3 1.183023
15 22 25 24 15 4 1.104181
15 26 29 28 15 5 1.042155
15 30 34 32 15 6 1.009550
15 35 40 38 15 7 0.960670
15 41 48 45 15 8 0.947907
15 49 58 54 15 9 0.946607
15 59 71 65 15 10 0.945933
15 72 88 80 15 11 0.945715
15 89 113 101 15 12 0.944817
15 114 155 135 15 13 0.936490
15 156 254 205 15 14 0.932548
15 255 255 255 15 15 0.929003
