# address to addend+multiplicative factor LUT
# maps 11 bits to 18 bits
# 18 bits = (addend<<10) + multiplier)
# addend is signed 8 bits, multiplier is 10 bits
# anything after # is ignored with the exception of the header
# the header is first valid line starting with #<header> versionStr nrBitsAddress nrBitsData </header>
#<header> v1 11 18 </header>
0 512 	 1 512 0 	 0 0 0   # compresses ieta bin 0, pt 0
125 824 	 1.6079 824 0 	 135 114 155 
126 771 	 1.50458 771 0 	 205 156 254 
127 751 	 1.4669 751 0 	 255 255 255 
128 512 	 1 512 0 	 0 0 0   # compresses ieta bin 8, pt 0
129 2047 	 2 1023 1 	 17 15 19 
130 2047 	 2 1023 1 	 20 20 20 
131 2047 	 2 1023 1 	 21 21 21 
132 2047 	 2 1023 1 	 24 22 25 
133 2047 	 2 1023 1 	 28 26 29 
134 2047 	 2 1023 1 	 32 30 34 
135 2047 	 2 1023 1 	 38 35 40 
136 2047 	 1.99844 1023 1 	 45 41 48 
137 984 	 1.91309 984 0 	 54 49 58 
138 940 	 1.82898 940 0 	 65 59 71 
139 898 	 1.74919 898 0 	 80 72 88 
140 853 	 1.66173 853 0 	 101 89 113 
141 805 	 1.57106 805 0 	 135 114 155 
142 751 	 1.46572 751 0 	 205 156 254 
143 732 	 1.43003 732 0 	 255 255 255 
144 512 	 1 512 0 	 0 0 0   # compresses ieta bin 9, pt 0
145 2047 	 2 1023 1 	 17 15 19 
146 2047 	 2 1023 1 	 20 20 20 
147 2047 	 2 1023 1 	 21 21 21 
148 2047 	 2 1023 1 	 24 22 25 
149 2047 	 2 1023 1 	 28 26 29 
150 2047 	 2 1023 1 	 32 30 34 
151 2047 	 2 1023 1 	 38 35 40 
152 1010 	 1.96115 1010 0 	 45 41 48 
153 960 	 1.87229 960 0 	 54 49 58 
154 920 	 1.79363 920 0 	 65 59 71 
155 882 	 1.72166 882 0 	 80 72 88 
156 838 	 1.63606 838 0 	 101 89 113 
157 794 	 1.54955 794 0 	 135 114 155 
158 744 	 1.45006 744 0 	 205 156 254 
159 726 	 1.41813 726 0 	 255 255 255 
160 512 	 1 512 0 	 0 0 0   # compresses ieta bin 10, pt 0
161 2047 	 2 1023 1 	 17 15 19 
162 2047 	 2 1023 1 	 20 20 20 
163 2047 	 2 1023 1 	 21 21 21 
164 2047 	 2 1023 1 	 24 22 25 
165 2047 	 2 1023 1 	 28 26 29 
166 2047 	 2 1023 1 	 32 30 34 
167 2047 	 2 1023 1 	 38 35 40 
168 1005 	 1.95906 1005 0 	 45 41 48 
169 960 	 1.86774 960 0 	 54 49 58 
170 920 	 1.78928 920 0 	 65 59 71 
171 882 	 1.71749 882 0 	 80 72 88 
172 838 	 1.63252 838 0 	 101 89 113 
173 794 	 1.5484 794 0 	 135 114 155 
174 743 	 1.44841 743 0 	 205 156 254 
175 726 	 1.41809 726 0 	 255 255 255 
176 512 	 1 512 0 	 0 0 0   # compresses ieta bin 11, pt 0
177 2047 	 2 1023 1 	 17 15 19 
178 2047 	 2 1023 1 	 20 20 20 
179 2047 	 2 1023 1 	 21 21 21 
180 2047 	 2 1023 1 	 24 22 25 
181 2047 	 2 1023 1 	 28 26 29 
182 2047 	 2 1023 1 	 32 30 34 
183 2047 	 2 1023 1 	 38 35 40 
184 1005 	 1.96096 1005 0 	 45 41 48 
185 955 	 1.86295 955 0 	 54 49 58 
186 912 	 1.77968 912 0 	 65 59 71 
187 872 	 1.70232 872 0 	 80 72 88 
188 828 	 1.61245 828 0 	 101 89 113 
189 781 	 1.52404 781 0 	 135 114 155 
190 730 	 1.42321 730 0 	 205 156 254 
191 715 	 1.39613 715 0 	 255 255 255 
192 512 	 1 512 0 	 0 0 0   # compresses ieta bin 12, pt 0
193 2047 	 2 1023 1 	 17 15 19 
194 2047 	 2 1023 1 	 20 20 20 
195 2047 	 2 1023 1 	 21 21 21 
196 2047 	 2 1023 1 	 24 22 25 
197 2047 	 2 1023 1 	 28 26 29 
198 2047 	 2 1023 1 	 32 30 34 
199 2047 	 2 1023 1 	 38 35 40 
200 2047 	 2 1023 1 	 45 41 48 
201 985 	 1.92056 985 0 	 54 49 58 
