# columns 
# CaloToolMPEtaBin PtMin PtMax avgPt IEtaBin_forLUT_col1 PtBin_forLUT SF
0 0 0 0 0 0 1.000000   # ieta [1, 2, 3, 4, 5], pt 0
10 156 254 205 10 14 1.198225
10 255 255 255 10 15 1.170476
11 0 0 0 11 0 1.000000   # ieta [26], pt 0
11 1 19 10 11 1 1.946438
11 20 20 20 11 2 1.817526
11 21 21 21 11 3 1.787757
11 22 25 24 11 4 1.739450
11 26 29 28 11 5 1.687090
11 30 34 32 11 6 1.635214
11 35 40 38 11 7 1.587412
11 41 48 45 11 8 1.524940
11 49 58 54 11 9 1.464248
11 59 71 65 11 10 1.407699
11 72 88 80 11 11 1.354107
11 89 113 101 11 12 1.290962
11 114 155 135 11 13 1.234457
11 156 254 205 11 14 1.170663
11 255 255 255 11 15 1.145246
12 0 0 0 12 0 1.000000   # ieta [27, 28], pt 0
12 1 19 10 12 1 1.908911
12 20 20 20 12 2 1.718324
12 21 21 21 12 3 1.688674
12 22 25 24 12 4 1.636735
12 26 29 28 12 5 1.584833
12 30 34 32 12 6 1.545429
12 35 40 38 12 7 1.504141
12 41 48 45 12 8 1.456490
12 49 58 54 12 9 1.395908
12 59 71 65 12 10 1.340123
12 72 88 80 12 11 1.285104
12 89 113 101 12 12 1.217535
12 114 155 135 12 13 1.157966
12 156 254 205 12 14 1.101321
12 255 255 255 12 15 1.077115
13 0 0 0 13 0 1.000000   # ieta [29, 30, 31], pt 0
13 1 19 10 13 1 1.321158
13 20 20 20 13 2 1.163396
13 21 21 21 13 3 1.129312
13 22 25 24 13 4 1.092556
13 26 29 28 13 5 1.082022
13 30 34 32 13 6 1.070003
13 35 40 38 13 7 1.056637
13 41 48 45 13 8 1.053435
13 49 58 54 13 9 1.047347
13 59 71 65 13 10 1.045512
13 72 88 80 13 11 1.041957
13 89 113 101 13 12 1.025444
13 114 155 135 13 13 1.006955
13 156 254 205 13 14 0.987859
13 255 255 255 13 15 0.975168
14 0 0 0 14 0 1.000000   # ieta [32, 33, 34, 35], pt 0
14 1 19 10 14 1 1.179628
14 20 20 20 14 2 1.042580
14 21 21 21 14 3 1.015815
14 22 25 24 14 4 0.978840
14 26 29 28 14 5 0.946108
14 30 34 32 14 6 0.918756
14 35 40 38 14 7 0.896502
14 41 48 45 14 8 0.895851
14 49 58 54 14 9 0.897676
14 59 71 65 14 10 0.902392
14 72 88 80 14 11 0.903266
14 89 113 101 14 12 0.900110
14 114 155 135 14 13 0.888350
14 156 254 205 14 14 0.875120
14 255 255 255 14 15 0.881614
15 0 0 0 15 0 1.000000   # ieta [36, 37, 38, 39, 40], pt 0
15 1 19 10 15 1 1.361290
15 20 20 20 15 2 1.194472
15 21 21 21 15 3 1.164158
15 22 25 24 15 4 1.113248
15 26 29 28 15 5 1.058262
15 30 34 32 15 6 1.014033
15 35 40 38 15 7 0.971078
15 41 48 45 15 8 0.949332
15 49 58 54 15 9 0.938758
15 59 71 65 15 10 0.927472
15 72 88 80 15 11 0.920086
15 89 113 101 15 12 0.913415
15 114 155 135 15 13 0.895937
15 156 254 205 15 14 0.876115
15 255 255 255 15 15 0.883966
