# columns 
# CaloToolMPEtaBin PtMin PtMax avgPt IEtaBin_forLUT_col1 PtBin_forLUT SF
0 0 0 0 0 0 1.000000   # ieta [1, 2, 3, 4, 5], pt 0
10 156 254 205 10 14 1.193730
10 255 255 255 10 15 1.161025
11 0 0 0 11 0 1.000000   # ieta [26], pt 0
11 1 19 10 11 1 1.627807
11 20 20 20 11 2 1.600450
11 21 21 21 11 3 1.557344
11 22 25 24 11 4 1.516071
11 26 29 28 11 5 1.460882
11 30 34 32 11 6 1.426625
11 35 40 38 11 7 1.389977
11 41 48 45 11 8 1.339592
11 49 58 54 11 9 1.297251
11 59 71 65 11 10 1.239472
11 72 88 80 11 11 1.180834
11 89 113 101 11 12 1.125974
11 114 155 135 11 13 1.072488
11 156 254 205 11 14 1.001371
11 255 255 255 11 15 0.974854
12 0 0 0 12 0 1.000000   # ieta [27, 28], pt 0
12 1 19 10 12 1 1.337229
12 20 20 20 12 2 1.291125
12 21 21 21 12 3 1.266113
12 22 25 24 12 4 1.201873
12 26 29 28 12 5 1.138841
12 30 34 32 12 6 1.080603
12 35 40 38 12 7 1.025796
12 41 48 45 12 8 0.984253
12 49 58 54 12 9 0.943267
12 59 71 65 12 10 0.900813
12 72 88 80 12 11 0.850041
12 89 113 101 12 12 0.799449
12 114 155 135 12 13 0.750130
12 156 254 205 12 14 0.703468
12 255 255 255 12 15 0.691887
13 0 0 0 13 0 1.000000   # ieta [29, 30, 31], pt 0
13 1 19 10 13 1 1.724939
13 20 20 20 13 2 1.676662
13 21 21 21 13 3 1.654702
13 22 25 24 13 4 1.555560
13 26 29 28 13 5 1.468212
13 30 34 32 13 6 1.414951
13 35 40 38 13 7 1.365852
13 41 48 45 13 8 1.318901
13 49 58 54 13 9 1.279333
13 59 71 65 13 10 1.244335
13 72 88 80 13 11 1.216268
13 89 113 101 13 12 1.181091
13 114 155 135 13 13 1.133205
13 156 254 205 13 14 1.080453
13 255 255 255 13 15 1.052388
14 0 0 0 14 0 1.000000   # ieta [32, 33, 34, 35], pt 0
14 1 19 10 14 1 1.330351
14 20 20 20 14 2 1.291877
14 21 21 21 14 3 1.270021
14 22 25 24 14 4 1.221812
14 26 29 28 14 5 1.144306
14 30 34 32 14 6 1.101917
14 35 40 38 14 7 1.076312
14 41 48 45 14 8 1.058161
14 49 58 54 14 9 1.040970
14 59 71 65 14 10 1.029233
14 72 88 80 14 11 1.012965
14 89 113 101 14 12 0.992452
14 114 155 135 14 13 0.965810
14 156 254 205 14 14 0.931643
14 255 255 255 14 15 0.920164
15 0 0 0 15 0 1.000000   # ieta [36, 37, 38, 39, 40], pt 0
15 1 19 10 15 1 1.353470
15 20 20 20 15 2 1.313325
15 21 21 21 15 3 1.281228
15 22 25 24 15 4 1.217357
15 26 29 28 15 5 1.139005
15 30 34 32 15 6 1.104702
15 35 40 38 15 7 1.065987
15 41 48 45 15 8 1.031465
15 49 58 54 15 9 1.007401
15 59 71 65 15 10 0.989483
15 72 88 80 15 11 0.965982
15 89 113 101 15 12 0.939345
15 114 155 135 15 13 0.916327
15 156 254 205 15 14 0.893766
15 255 255 255 15 15 0.890841
