# columns 
# CaloToolMPEtaBin PtMin PtMax avgPt IEtaBin_forLUT_col1 PtBin_forLUT SF
0 0 0 0 0 0 1.000000   # ieta [1, 2, 3, 4, 5], pt 0
10 156 254 205 10 14 1.448411
10 255 255 255 10 15 1.418094
11 0 0 0 11 0 1.000000   # ieta [26], pt 0
11 15 19 17 11 1 2.685430
11 20 20 20 11 2 2.536203
11 21 21 21 11 3 2.510395
11 22 25 24 11 4 2.421825
11 26 29 28 11 5 2.291903
11 30 34 32 11 6 2.183806
11 35 40 38 11 7 2.073003
11 41 48 45 11 8 1.960955
11 49 58 54 11 9 1.862949
11 59 71 65 11 10 1.779682
11 72 88 80 11 11 1.702319
11 89 113 101 11 12 1.612451
11 114 155 135 11 13 1.524038
11 156 254 205 11 14 1.423205
11 255 255 255 11 15 1.396131
12 0 0 0 12 0 1.000000   # ieta [27, 28], pt 0
12 15 19 17 12 1 3.027999
12 20 20 20 12 2 2.773793
12 21 21 21 12 3 2.738648
12 22 25 24 12 4 2.607618
12 26 29 28 12 5 2.434389
12 30 34 32 12 6 2.300291
12 35 40 38 12 7 2.161332
12 41 48 45 12 8 2.033185
12 49 58 54 12 9 1.920561
12 59 71 65 12 10 1.818706
12 72 88 80 12 11 1.731159
12 89 113 101 12 12 1.635388
12 114 155 135 12 13 1.542284
12 156 254 205 12 14 1.439349
12 255 255 255 12 15 1.412104
13 0 0 0 13 0 1.000000   # ieta [29, 30, 31], pt 0
13 15 19 17 13 1 1.859629
13 20 20 20 13 2 1.737584
13 21 21 21 13 3 1.692281
13 22 25 24 13 4 1.632146
13 26 29 28 13 5 1.566352
13 30 34 32 13 6 1.516606
13 35 40 38 13 7 1.481038
13 41 48 45 13 8 1.439268
13 49 58 54 13 9 1.413170
13 59 71 65 13 10 1.366571
13 72 88 80 13 11 1.313087
13 89 113 101 13 12 1.274286
13 114 155 135 13 13 1.222644
13 156 254 205 13 14 1.195978
13 255 255 255 13 15 1.193043
14 0 0 0 14 0 1.000000   # ieta [32, 33, 34, 35], pt 0
14 15 19 17 14 1 1.513386
14 20 20 20 14 2 1.417011
14 21 21 21 14 3 1.369996
14 22 25 24 14 4 1.324838
14 26 29 28 14 5 1.256667
14 30 34 32 14 6 1.208335
14 35 40 38 14 7 1.174336
14 41 48 45 14 8 1.161717
14 49 58 54 14 9 1.151491
14 59 71 65 14 10 1.119906
14 72 88 80 14 11 1.102851
14 89 113 101 14 12 1.089272
14 114 155 135 14 13 1.055204
14 156 254 205 14 14 1.044159
14 255 255 255 14 15 1.041388
15 0 0 0 15 0 1.000000   # ieta [36, 37, 38, 39, 40], pt 0
15 15 19 17 15 1 1.596118
15 20 20 20 15 2 1.501705
15 21 21 21 15 3 1.431440
15 22 25 24 15 4 1.370662
15 26 29 28 15 5 1.281876
15 30 34 32 15 6 1.224724
15 35 40 38 15 7 1.180982
15 41 48 45 15 8 1.164355
15 49 58 54 15 9 1.147268
15 59 71 65 15 10 1.105567
15 72 88 80 15 11 1.088732
15 89 113 101 15 12 1.075069
15 114 155 135 15 13 1.039354
15 156 254 205 15 14 1.031269
15 255 255 255 15 15 1.027569
