# address to addend+multiplicative factor LUT
# maps 11 bits to 18 bits
# 18 bits = (addend<<10) + multiplier)
# addend is signed 8 bits, multiplier is 10 bits
# anything after # is ignored with the exception of the header
# the header is first valid line starting with #<header> versionStr nrBitsAddress nrBitsData </header>
#<header> v1 11 18 </header>
0 512 	 1 512 0 	 0 0 0   # compresses ieta bin 0, pt 0
105 5119 	 2.02927 1023 4 	 54 49 58 
106 991 	 1.93375 991 0 	 65 59 71 
107 946 	 1.8409 946 0 	 80 72 88 
108 896 	 1.74826 896 0 	 101 89 113 
109 841 	 1.64221 841 0 	 135 114 155 
110 784 	 1.52833 784 0 	 205 156 254 
111 761 	 1.48573 761 0 	 255 255 255 
112 512 	 1 512 0 	 0 0 0   # compresses ieta bin 7, pt 0
113 28671 	 2.77309 1023 27 	 17 15 19 
114 28671 	 2.6404 1023 27 	 20 20 20 
115 29695 	 2.63192 1023 28 	 21 21 21 
116 27647 	 2.52886 1023 26 	 24 22 25 
117 24575 	 2.39072 1023 23 	 28 26 29 
118 20479 	 2.27914 1023 19 	 32 30 34 
119 16383 	 2.17975 1023 15 	 38 35 40 
120 8191 	 2.06995 1023 7 	 45 41 48 
121 1012 	 1.97365 1012 0 	 54 49 58 
122 963 	 1.87769 963 0 	 65 59 71 
123 920 	 1.79212 920 0 	 80 72 88 
124 874 	 1.70525 874 0 	 101 89 113 
125 824 	 1.6079 824 0 	 135 114 155 
126 771 	 1.50458 771 0 	 205 156 254 
127 751 	 1.4669 751 0 	 255 255 255 
128 512 	 1 512 0 	 0 0 0   # compresses ieta bin 8, pt 0
129 27647 	 2.74061 1023 26 	 17 15 19 
130 25599 	 2.57904 1023 24 	 20 20 20 
131 25599 	 2.5528 1023 24 	 21 21 21 
132 24575 	 2.45951 1023 23 	 24 22 25 
133 21503 	 2.33054 1023 20 	 28 26 29 
134 16383 	 2.21941 1023 15 	 32 30 34 
135 10239 	 2.10443 1023 9 	 38 35 40 
136 2047 	 1.99844 1023 1 	 45 41 48 
137 984 	 1.91309 984 0 	 54 49 58 
138 940 	 1.82898 940 0 	 65 59 71 
139 898 	 1.74919 898 0 	 80 72 88 
140 853 	 1.66173 853 0 	 101 89 113 
141 805 	 1.57106 805 0 	 135 114 155 
142 751 	 1.46572 751 0 	 205 156 254 
143 732 	 1.43003 732 0 	 255 255 255 
144 512 	 1 512 0 	 0 0 0   # compresses ieta bin 9, pt 0
145 25599 	 2.66332 1023 24 	 17 15 19 
146 23551 	 2.51895 1023 22 	 20 20 20 
147 23551 	 2.49332 1023 22 	 21 21 21 
148 22527 	 2.41205 1023 21 	 24 22 25 
149 18431 	 2.27944 1023 17 	 28 26 29 
150 13311 	 2.17646 1023 12 	 32 30 34 
151 7167 	 2.07129 1023 6 	 38 35 40 
152 1010 	 1.96115 1010 0 	 45 41 48 
153 960 	 1.87229 960 0 	 54 49 58 
154 920 	 1.79363 920 0 	 65 59 71 
155 882 	 1.72166 882 0 	 80 72 88 
156 838 	 1.63606 838 0 	 101 89 113 
157 794 	 1.54955 794 0 	 135 114 155 
158 744 	 1.45006 744 0 	 205 156 254 
159 726 	 1.41813 726 0 	 255 255 255 
160 512 	 1 512 0 	 0 0 0   # compresses ieta bin 10, pt 0
161 25599 	 2.66702 1023 24 	 17 15 19 
162 23551 	 2.5206 1023 22 	 20 20 20 
163 23551 	 2.49495 1023 22 	 21 21 21 
164 22527 	 2.41363 1023 21 	 24 22 25 
165 18431 	 2.28093 1023 17 	 28 26 29 
166 13311 	 2.17687 1023 12 	 32 30 34 
167 7167 	 2.07044 1023 6 	 38 35 40 
168 1005 	 1.95906 1005 0 	 45 41 48 
169 960 	 1.86774 960 0 	 54 49 58 
170 920 	 1.78928 920 0 	 65 59 71 
171 882 	 1.71749 882 0 	 80 72 88 
172 838 	 1.63252 838 0 	 101 89 113 
173 794 	 1.5484 794 0 	 135 114 155 
174 743 	 1.44841 743 0 	 205 156 254 
175 726 	 1.41809 726 0 	 255 255 255 
176 512 	 1 512 0 	 0 0 0   # compresses ieta bin 11, pt 0
177 25599 	 2.68543 1023 24 	 17 15 19 
178 23551 	 2.5362 1023 22 	 20 20 20 
179 23551 	 2.51039 1023 22 	 21 21 21 
180 22527 	 2.42183 1023 21 	 24 22 25 
181 18431 	 2.2919 1023 17 	 28 26 29 
182 14335 	 2.18381 1023 13 	 32 30 34 
183 8191 	 2.073 1023 7 	 38 35 40 
184 1005 	 1.96096 1005 0 	 45 41 48 
185 955 	 1.86295 955 0 	 54 49 58 
186 912 	 1.77968 912 0 	 65 59 71 
187 872 	 1.70232 872 0 	 80 72 88 
188 828 	 1.61245 828 0 	 101 89 113 
189 781 	 1.52404 781 0 	 135 114 155 
190 730 	 1.42321 730 0 	 205 156 254 
191 715 	 1.39613 715 0 	 255 255 255 
192 512 	 1 512 0 	 0 0 0   # compresses ieta bin 12, pt 0
193 37887 	 3.028 1023 36 	 17 15 19 
194 33791 	 2.77379 1023 32 	 20 20 20 
195 33791 	 2.73865 1023 32 	 21 21 21 
196 31743 	 2.60762 1023 30 	 24 22 25 
197 26623 	 2.43439 1023 25 	 28 26 29 
198 21503 	 2.30029 1023 20 	 32 30 34 
199 14335 	 2.16133 1023 13 	 38 35 40 
200 5119 	 2.03319 1023 4 	 45 41 48 
201 985 	 1.92056 985 0 	 54 49 58 
202 932 	 1.81871 932 0 	 65 59 71 
203 888 	 1.73116 888 0 	 80 72 88 
204 838 	 1.63539 838 0 	 101 89 113 
205 790 	 1.54228 790 0 	 135 114 155 
206 738 	 1.43935 738 0 	 205 156 254 
207 723 	 1.4121 723 0 	 255 255 255 
208 512 	 1 512 0 	 0 0 0   # compresses ieta bin 13, pt 0
209 958 	 1.85963 958 0 	 17 15 19 
210 902 	 1.73758 902 0 	 20 20 20 
211 872 	 1.69228 872 0 	 21 21 21 
212 839 	 1.63215 839 0 	 24 22 25 
213 809 	 1.56635 809 0 	 28 26 29 
214 780 	 1.51661 780 0 	 32 30 34 
215 765 	 1.48104 765 0 	 38 35 40 
216 743 	 1.43927 743 0 	 45 41 48 
217 728 	 1.41317 728 0 	 54 49 58 
